SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
0.580401,0.580356,1.58901,0.978344,0.447937,0.659064,1.27026,-1.41685,-27.1645,1
0.580401,0.580356,1.72258,1.02098,0.883924,0.784028,1.01264,-1.12759,-21.6043,1
0.580401,0.580356,0.732057,0.705076,0.230057,0.596609,0.561646,-1.53256,-29.3886,1
0.580401,0.580356,1.23594,0.865758,-0.638749,0.34753,1.93495,-1.09867,-21.0483,1
0.580401,0.580356,2.02081,1.11605,0.661518,0.720275,1.52562,-1.30115,-24.9405,1
0.580401,0.580356,1.55723,0.968249,0.923292,0.79531,0.806478,-1.09867,-21.0483,1
0.580401,0.580356,2.38942,1.23356,1.16289,0.864017,1.44713,-1.01189,-19.3802,1
0.580401,0.580356,2.15045,1.15739,1.07873,0.839887,1.27822,-1.09867,-21.0483,1
0.580401,0.580356,2.1414,1.15448,0.380288,0.639649,1.91732,-1.38793,-26.6085,1
0.580401,0.580356,2.35542,1.22275,1.23031,0.883325,1.35173,-1.41685,-27.1645,1
0.580401,0.580356,1.45133,0.934439,0.879625,0.782783,0.735531,-1.359,-26.0525,1
0.580401,0.580356,2.23005,1.18274,0.634821,0.71262,1.76931,-1.56148,-29.9447,1
0.580401,0.580356,0.757849,0.713306,0.30404,0.617772,0.522548,-1.4747,-28.2766,1
0.580401,0.580356,1.16557,0.843361,0.209468,0.590676,1.04235,-1.44578,-27.7206,1
0.580401,0.580356,1.39377,0.91608,0.238203,0.59894,1.25832,-1.4747,-28.2766,1
0.580401,0.580356,1.81806,1.05141,0.422371,0.651727,1.53585,-1.38793,-26.6085,1
0.580401,0.580356,0.525037,0.639081,-0.187151,0.47697,0.72117,-1.27222,-24.3844,1
0.580401,0.580356,1.57329,0.973314,0.545903,0.687113,1.16363,-1.30115,-24.9405,1
0.580401,0.580356,0.944032,0.772678,0.0900069,0.556482,0.915956,-1.50363,-28.8326,1
1.34391,1.34665,-0.041536,1.60503,0.551334,1.97089,-0.536684,-1.12759,-21.6043,1
1.34391,1.34665,-0.294844,1.50876,0.959718,2.11036,-1.13668,-0.982963,-18.8242,1
0.580401,0.580356,-0.314488,0.371373,-0.500509,0.38718,0.0927407,-1.2433,-23.8284,1
0.580401,0.580356,2.02662,1.11788,0.992751,0.815202,1.22846,-1.21437,-23.2724,1
0.580401,0.580356,1.30119,0.886582,0.506763,0.675936,0.913255,-1.09867,-21.0483,1
0.580401,0.580356,1.74342,1.02757,0.676225,0.724459,1.22235,-1.30115,-24.9405,1
0.580401,0.580356,1.80849,1.04836,1.26787,0.894052,0.761123,-1.30115,-24.9405,1
0.580401,0.580356,2.32792,1.21397,0.822836,0.766493,1.6958,-1.41685,-27.1645,1
0.580401,0.580356,1.25507,0.871884,-0.179005,0.4793,1.505,-1.50363,-28.8326,1
0.580401,0.580356,1.99143,1.10667,1.20769,0.876836,1.00041,-1.04081,-19.9362,1
0.580401,0.580356,0.617103,0.668459,0.239107,0.599178,0.431267,-1.359,-26.0525,1
0.580401,0.580356,1.17992,0.84793,0.783016,0.755104,0.539465,-1.21437,-23.2724,1
0.580401,0.580356,1.66553,1.00276,1.04117,0.829107,0.813587,-1.59041,-30.5007,1
0.580401,0.580356,0.235345,0.546737,0.273046,0.608872,-0.0046512,-1.30115,-24.9405,1
0.580401,0.580356,-0.928376,0.175614,-0.310683,0.441557,-0.748103,-1.30115,-24.9405,1
1.34391,1.34665,0.107922,1.6618,0.806093,2.0579,-0.594266,-1.04081,-19.9362,1
0.580401,0.580356,2.15985,1.1604,1.43598,0.942284,0.970553,-1.12759,-21.6043,1
0.580401,0.580356,1.23526,0.865553,0.464454,0.663779,0.8824,-1.359,-26.0525,1
0.580401,0.580356,1.03097,0.800431,0.669212,0.722499,0.484584,-1.2433,-23.8284,1
0.580401,0.580356,2.32365,1.21264,1.28801,0.899853,1.26771,-1.09867,-21.0483,1
0.580401,0.580356,1.57842,0.974991,0.732788,0.740695,0.998988,-1.12759,-21.6043,1
0.580401,0.580356,0.783812,0.721604,0.0793737,0.553409,0.754156,-1.21437,-23.2724,1
0.580401,0.580356,1.4416,0.931376,0.824645,0.76705,0.774346,-1.12759,-21.6043,1
0.580401,0.580356,1.41341,0.922394,0.600431,0.702767,0.946239,-1.04081,-19.9362,1
0.580401,0.580356,1.66928,1.00394,0.942975,0.800979,0.904581,-1.15652,-22.1603,1
0.580401,0.580356,0.982634,0.785015,0.44658,0.658667,0.632167,-1.15652,-22.1603,1
0.580401,0.580356,1.36132,0.905762,0.615364,0.707058,0.878135,-1.2433,-23.8284,1
0.580401,0.580356,2.38771,1.23303,0.739349,0.742602,1.83571,-1.04081,-19.9362,1
0.580401,0.580356,1.77536,1.03777,0.732788,0.740722,1.20401,-1.15652,-22.1603,1
0.580401,0.580356,1.4404,0.930983,0.786183,0.755978,0.807473,-1.21437,-23.2724,1
