SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
6.02305,4.36119,0.958654,6.09099,0.864484,5.90105,0.166737,-1.28212,-29.0277,1
6.02305,4.36119,0.417503,5.89821,0.952697,5.92976,-0.594558,-2.00256,-45.3653,1
4.68731,5.60154,1.13999,6.15555,0.690734,5.84453,0.592963,-1.42621,-32.2952,1
4.68731,5.60154,1.69929,6.35479,0.809373,5.88309,1.14037,-1.45503,-32.9487,1
6.02305,4.36119,0.285361,5.85119,0.707383,5.84991,-0.481733,-1.25331,-28.3741,1
6.02305,4.36119,0.124878,5.794,0.669302,5.83751,-0.637118,-1.80084,-40.7907,1
4.68731,5.60154,-0.120462,5.70661,0.49498,5.78082,-0.745766,-0.73459,-16.6111,1
4.68731,5.60154,1.16037,6.16281,0.564059,5.80329,0.76955,-0.676955,-15.304,1
4.68731,5.60154,0.304306,5.85789,0.515071,5.78737,-0.238905,-0.878678,-19.8786,1
4.68731,5.60154,1.7262,6.36439,0.733023,5.85826,1.26589,-0.84986,-19.2251,1
4.68731,5.60154,0.830809,6.04545,0.816263,5.88534,0.0656752,-0.12942,-2.88745,1
6.02305,4.36119,-0.511638,5.56731,0.599076,5.81467,-1.34812,-0.84986,-19.2251,1
4.68731,5.60154,0.779067,6.02703,0.797893,5.87939,0.0231131,-0.100602,-2.23395,1
4.68731,5.60154,0.617152,5.96935,0.805547,5.88187,-0.184582,-0.187055,-4.19446,1
4.68731,5.60154,-0.142274,5.69887,0.894143,5.91072,-1.21378,-0.0141494,-0.27343,1
4.68731,5.60154,1.14716,6.15812,0.822003,5.88724,0.447173,-0.0717847,-1.58044,1
6.02305,4.36119,0.30367,5.85768,0.850515,5.89647,-0.619784,-0.158238,-3.54096,1
6.02305,4.36119,-0.508931,5.56826,0.668537,5.83725,-1.42039,0.965649,21.9457,1
6.02305,4.36119,-0.188125,5.68254,0.744696,5.86207,-1.1073,0.879197,19.9852,1
4.68731,5.60154,-0.254675,5.65883,0.652081,5.83192,-1.08764,-0.0141494,-0.27343,1
4.68731,5.60154,0.76824,6.02314,0.822194,5.88725,-0.0180533,0.101121,2.34059,1
4.68731,5.60154,0.848322,6.0517,0.86678,5.9018,0.0289957,0.0146682,0.380075,1
4.68731,5.60154,1.17502,6.16806,0.772633,5.87116,0.539569,0.0723034,1.68708,1
5.38803,4.93634,-0.87113,5.47587,0.795405,5.9178,-2.00216,-1.91611,-43.4048,1
5.38803,4.93634,0.354457,5.91505,0.781437,5.91325,-0.480186,-1.45503,-32.9487,1
5.38803,4.93634,0.585947,5.99805,0.951166,5.96879,-0.387172,-2.08902,-47.3258,1
5.38803,4.93634,0.736876,6.05212,1.00704,5.98711,-0.266143,-2.08902,-47.3258,1
5.30669,5.01187,-0.112342,5.74781,0.951741,5.96899,-1.23931,-2.03138,-46.0188,1
5.30669,5.01187,-1.00502,5.42787,0.821429,5.92636,-2.19391,-1.77202,-40.1372,1
5.38803,4.93634,-0.474542,5.61799,0.428772,5.79781,-1.11426,-1.48385,-33.6022,1
5.38803,4.93634,-0.807448,5.49872,0.50914,5.82413,-1.61849,-1.39739,-31.6417,1
