SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
0.76015,5.48946,2.34602,16.2335,1.5356,15.9941,1.38253,-1.77336,-35.7127,1
-0.431966,2.68829,0.80991,3.62794,0.321415,3.64994,0.752527,-1.56309,-31.4716,1
-0.431966,2.68829,0.85192,3.64978,0.352264,3.6642,0.774154,-1.45796,-29.3511,1
-0.778853,5.48946,0.949829,5.34438,0.707167,5.55999,0.492861,-1.61566,-32.5319,1
-0.651824,2.68829,0.41827,2.6697,-0.0923809,2.67348,0.700753,-0.722028,-14.5071,1
-0.651824,2.68829,0.735449,2.81301,0.24247,2.80826,0.743322,-0.643178,-12.9167,1
0.784579,0.166317,1.61075,2.73231,-0.0210074,2.25206,2.3188,-1.01114,-20.3387,1
0.784579,0.166317,1.81702,2.81758,0.564982,2.46797,1.84491,-0.984861,-19.8085,1
0.227606,0.166317,0.594308,1.4039,-0.9368,1.04475,2.08306,-0.590612,-11.8564,1
0.227606,0.166317,0.988948,1.53569,0.0219006,1.33,1.3746,-0.748311,-15.0373,1
0.266692,0.166317,0.904375,1.57654,-0.560583,1.22311,2.02358,-1.08999,-21.9291,1
0.266692,0.166317,1.43593,1.7572,0.124964,1.4307,1.87678,-1.37911,-27.7606,1
0.735721,0.166317,0.989616,2.39196,0.0998641,2.21274,1.27715,-0.984861,-19.8085,1
0.735721,0.166317,1.46483,2.58506,0.157916,2.23377,1.87483,-0.984861,-19.8085,1
-0.431966,2.68829,1.5075,3.98994,1.06221,3.99244,0.832945,-0.643178,-12.9167,1
-0.431966,2.68829,1.00229,3.72779,0.651078,3.80235,0.628848,-0.406629,-8.14546,1
-0.651824,2.68829,0.599309,2.75151,0.171658,2.77976,0.637132,-0.354062,-7.08518,1
-0.651824,2.68829,0.804909,2.84439,0.102808,2.75204,1.01162,-0.485478,-9.73588,1
-0.431966,2.68829,1.35958,3.9132,0.654302,3.80385,1.11113,-0.590612,-11.8564,1
-0.651824,2.68829,0.565635,2.73628,0.499217,2.9116,0.206275,0.986385,19.952,1
-0.651824,2.68829,0.0200733,2.48983,0.357172,2.85439,-0.388067,0.907535,18.3615,1
