SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
-0.520575,2.65766,0.647266,0.714571,0.509211,0.757461,0.480531,-1.10858,-22.4134,1
-0.520575,2.65766,1.87787,0.879386,1.19808,0.792441,1.47023,-1.08621,-21.9607,1
-0.520575,2.65766,0.285703,0.666159,0.54238,0.759151,0.0970762,-1.17568,-23.7717,1
-0.520575,2.65766,1.07845,0.772323,1.17189,0.791104,0.673819,-1.17568,-23.7717,1
0.854938,0.41956,1.30185,0.802248,0.9226,0.778441,0.993826,1.12826,22.8612,1
0.854938,0.41956,1.73756,0.860601,1.17853,0.791445,1.33638,1.21773,24.6722,1
0.854938,0.41956,0.99094,0.7606,1.05912,0.785383,0.627034,1.19537,24.2194,1
0.854938,0.41956,0.601788,0.708492,0.863246,0.775427,0.304087,1.30721,26.4831,1
-0.502163,-0.784081,-0.472556,-0.742171,-0.636689,-0.750025,-0.267576,0.882208,17.881,1
-0.502163,-0.784081,-0.464258,-0.741955,-0.900994,-0.752614,-0.162245,0.479578,9.73154,1
-0.502163,-0.784081,-0.34582,-0.738893,-0.475383,-0.748442,-0.192008,0.0769472,1.58212,1
-0.502163,-0.784081,0.525272,-0.716357,0.660042,-0.737306,0.299899,0.211157,4.29859,1
-0.502163,-0.784081,-0.292474,-0.737512,-0.181401,-0.745558,-0.242002,0.278262,5.65683,1
-0.502163,-0.784081,-1.03651,-0.756759,-1.56367,-0.759114,-0.536789,0.00984209,0.223881,1
-0.502163,-0.784081,-1.09104,-0.75817,-1.05392,-0.754114,-0.778464,0.703261,14.259,1
-0.502163,-0.784081,-0.645524,-0.746645,-1.27283,-0.75626,-0.219633,0.703261,14.259,1
-0.502163,-0.784081,-0.781312,-0.75016,-2.16351,-0.764996,-0.0314257,0.0993155,2.03486,1
-0.502163,-0.784081,-0.386556,-0.739945,-0.891567,-0.752523,-0.0825773,0.0545788,1.12937,1
-0.502163,-0.784081,-0.0822186,-0.732073,-0.138106,-0.745133,-0.0375745,0.211157,4.29859,1
-0.502163,-0.784081,0.543054,-0.715896,0.324163,-0.740601,0.442213,0.211157,4.29859,1
-1.26249,0.107635,-0.112394,-0.787235,0.95542,-0.795614,-0.454447,0.278262,5.65683,1
-1.26249,0.107635,-1.05418,-0.807486,-1.98335,-0.819569,-0.401336,-0.191473,-3.85083,1
-1.26249,0.107635,-0.162075,-0.788302,0.50607,-0.799277,-0.349828,0.278262,5.65683,1
-0.520575,2.65766,0.594136,0.707461,0.987194,0.781719,0.251332,-0.191473,-3.85083,0
-0.520575,2.65766,1.07004,0.771204,1.42083,0.803742,0.573923,-0.661209,-13.3585,0
-0.520575,2.65766,0.0939831,0.640469,1.01722,0.783256,-0.266507,-0.0796314,-1.5871,0
-0.520575,2.65766,0.433022,0.685886,0.905493,0.777586,0.117038,-0.683577,-13.8112,0
0.854938,0.41956,0.926171,0.751928,-0.52985,0.704713,1.17303,0.949313,19.2392,0
0.854938,0.41956,1.19042,0.787316,-1.28471,0.66639,1.76867,1.15063,23.3139,0
0.854938,0.41956,0.798789,0.734866,-0.860142,0.687943,1.17107,1.50852,30.5579,0
0.854938,0.41956,0.257037,0.662306,-1.52492,0.654177,0.85668,1.37431,27.8414,0
-0.502163,-0.784081,-0.454666,-0.741707,-0.964888,-0.753243,-0.128293,1.53089,31.0106,0
-0.502163,-0.784081,-0.382785,-0.739848,-0.685918,-0.750506,-0.154313,1.35194,27.3886,0
-0.502163,-0.784081,-0.271244,-0.736964,-0.864682,-0.752259,0.0305076,0.658525,13.3535,0
-0.502163,-0.784081,0.43701,-0.718641,-2.66907,-0.769953,1.53786,0.390104,7.92056,0
-0.502163,-0.784081,-0.376535,-0.739686,-0.977804,-0.75337,-0.0398018,0.72563,14.7117,0
-0.502163,-0.784081,-1.12143,-0.758958,-2.44352,-0.767741,-0.302688,0.59142,11.9953,0
-0.502163,-0.784081,-1.35443,-0.764986,-0.409394,-0.747795,-1.27911,1.21773,24.6722,0
-0.502163,-0.784081,-0.491092,-0.742649,0.186949,-0.741947,-0.578583,1.06116,21.5029,0
-0.502163,-0.784081,-0.301312,-0.73774,-0.630754,-0.749964,-0.0881904,0.211157,4.29859,0
-0.502163,-0.784081,-0.433005,-0.741147,-0.252977,-0.746259,-0.36373,0.211157,4.29859,0
-0.502163,-0.784081,0.865821,-0.707549,-0.808119,-0.751705,1.22151,-0.191473,-3.85083,0
-0.502163,-0.784081,0.510508,-0.71674,-1.85102,-0.761931,1.26821,0.211157,4.29859,0
-1.26249,0.107635,-0.273723,-0.790705,1.24766,-0.793231,-0.716175,-0.415157,-8.37829,0
-1.26249,0.107635,-0.875502,-0.803643,-0.403808,-0.806692,-0.776237,-0.459894,-9.28378,0
