SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
0.977249,-0.0208767,-0.936402,4.35005,-0.032651,5.06636,-1.49152,-0.363265,-7.31623,1
0.977249,-0.0208767,-0.906648,4.36584,0.112733,5.12644,-1.60855,1.60115,31.7199,1
-1.1553,0.856549,0.354587,-1.02038,0.647315,-1.03023,-0.197997,0.0145064,0.190717,1
-1.1553,0.856549,-0.079901,-1.07319,0.465161,-1.04746,-0.677709,0.0522836,0.941411,1
-1.15845,0.856549,0.770234,-0.990962,0.436122,-1.07161,0.718047,-0.136602,-2.81206,1
-1.15845,0.856549,0.0751062,-1.0745,0.673526,-1.04939,-0.671321,0.0900608,1.69211,1
-1.15845,0.856549,0.527784,-1.0201,0.589426,-1.05727,0.145183,-0.136602,-2.81206,1
-1.15845,0.856549,0.338995,-1.04279,1.02086,-1.0169,-0.652153,0.0900608,1.69211,1
-1.15845,0.856549,-0.109395,-1.09667,0.769694,-1.0404,-1.07184,-0.136602,-2.81206,1
-1.15845,0.856549,-0.204634,-1.10812,0.417077,-1.07339,-0.821977,-0.212157,-4.31345,1
-1.15845,0.856549,-0.0511862,-1.08967,0.6047,-1.05583,-0.79272,-0.0232707,-0.559977,1
-1.15845,0.856549,-0.382769,-1.12951,0.00261143,-1.11218,-0.625083,-0.0232707,-0.559977,1
-1.15845,0.856549,-0.0480676,-1.0893,0.302618,-1.0841,-0.436594,0.0145064,0.190717,1
-1.15845,0.856549,-0.067038,-1.09158,0.251517,-1.08888,-0.406832,-0.0610479,-1.31067,1
-1.15845,0.856549,0.152155,-1.06524,0.807972,-1.03683,-0.703269,-0.0232707,-0.559977,1
-1.15845,0.856549,-0.113033,-1.09711,0.164399,-1.09703,-0.377912,0.0522836,0.941411,1
-1.15845,0.856549,0.148517,-1.06567,0.800995,-1.03747,-0.701083,-0.0232707,-0.559977,1
-1.15845,0.856549,-0.558305,-1.15061,0.210787,-1.09269,-1.15456,0.0145064,0.190717,1
-1.15845,0.856549,0.690587,-1.00054,1.43137,-0.97849,-0.569931,0.0900608,1.69211,1
-1.15845,0.856549,0.275069,-1.05047,0.417077,-1.0734,-0.052555,-0.17438,-3.56276,1
-1.15845,0.856549,-0.196448,-1.10713,0.179485,-1.09563,-0.53109,0.0900608,1.69211,1
-1.15845,0.856549,-0.0580727,-1.0905,0.0716257,-1.10571,-0.176979,-0.136602,-2.81206,1
-1.15845,0.856549,0.0892688,-1.07279,0.401992,-1.07481,-0.332848,-0.249934,-5.06414,1
-1.15845,0.856549,-0.127325,-1.09882,0.0186393,-1.11067,-0.226078,0.127838,2.4428,1
-1.15845,0.856549,-0.0650891,-1.09134,0.670697,-1.04967,-0.889908,0.0145064,0.190717,1
-1.15845,0.856549,-0.114722,-1.0973,-0.240072,-1.13487,0.111722,0.0145064,0.190717,1
-1.1553,0.856549,-0.416291,-1.11409,-0.0816784,-1.09922,-0.57985,-0.136602,-2.81206,1
-1.1553,0.856549,0.173854,-1.04235,0.000725371,-1.09142,0.288945,0.278947,5.44558,1
-1.15845,0.856549,0.650049,-1.0054,0.342216,-1.08039,0.640533,-0.0610479,-1.31067,1
-1.15845,0.856549,1.00268,-0.963033,0.539456,-1.06194,0.961854,-0.249934,-5.06414,1
0.876672,-1.1871,-0.751122,-1.17378,-0.652842,-1.17349,-0.443151,0.392278,7.69766,1
0.876672,-1.1871,-0.742027,-1.17268,-0.134476,-1.12499,-1.05368,-0.778815,-15.5739,1
0.876672,-1.1871,-0.636263,-1.15998,-0.0811115,-1.12001,-0.942201,-0.0232707,-0.559977,1
0.876672,-1.1871,-0.184885,-1.10573,-0.00380058,-1.11278,-0.293168,0.24117,4.69488,1
0.876672,-1.1871,0.106159,-1.07076,0.246049,-1.08939,-0.120147,0.203392,3.94419,1
0.876672,-1.1871,-0.368606,-1.12781,0.248877,-1.08912,-0.891421,0.0145064,0.190717,1
0.876672,-1.19025,-0.264921,-1.12519,0.257928,-1.09888,-0.734375,0.24117,4.69488,1
0.876672,-1.19025,-0.485804,-1.15157,-0.644922,-1.18287,-0.0032866,0.278947,5.44558,1
0.876672,-1.1871,-0.457998,-1.13856,-0.471441,-1.15652,-0.173954,0.354501,6.94697,1
0.876672,-1.1871,-0.695382,-1.16708,-0.589861,-1.16759,-0.426842,0.467833,9.19905,1
0.876672,-1.19025,-0.402778,-1.14166,0.331657,-1.09202,-1.04224,0.24117,4.69488,1
0.876672,-1.1871,-1.1426,-1.22082,-0.449945,-1.15452,-1.3486,0.430056,8.44835,1
0.876672,-1.1871,-0.336384,-1.12395,-0.33115,-1.14339,-0.144193,-0.249934,-5.06414,1
0.876672,-1.1871,-0.413303,-1.13318,0.0399469,-1.10868,-0.719242,0.127838,2.4428,1
0.876672,-1.1871,-0.224384,-1.11048,0.636379,-1.05287,-1.10362,0.316724,6.19627,1
0.876672,-1.19025,-0.425256,-1.14434,0.28923,-1.09598,-1.02947,-0.17438,-3.56276,1
0.876672,-1.18552,-0.414342,-1.12358,0.0212792,-1.09996,-0.699063,0.203392,3.94419,1
0.876672,-1.19025,-0.201515,-1.11762,0.169679,-1.10709,-0.527895,-0.212157,-4.31345,1
0.876672,-1.1871,0.194512,-1.06014,-0.138247,-1.12536,0.496266,-0.0610479,-1.31067,1
0.876672,-1.1871,-0.459687,-1.13875,-0.396016,-1.14947,-0.269795,0.0522836,0.941411,1
0.876672,-1.19025,-0.252968,-1.12376,-0.642471,-1.18264,0.388149,-0.0988251,-2.06137,1
0.876672,-1.1871,-0.562073,-1.15107,-1.24267,-1.22868,0.643055,0.127838,2.4428,1
0.876672,-1.1871,-0.650685,-1.16171,-0.0290674,-1.11513,-1.02711,0.732273,14.4539,1
0.876672,-1.18552,-0.550639,-1.14006,-0.887605,-1.18548,0.195963,0.430056,8.44835,1
0.876672,-1.1871,-0.191382,-1.10651,0.121595,-1.10105,-0.454081,0.694496,13.7032,1
0.876672,-1.19025,-1.43767,-1.2653,-0.290984,-1.14993,-2.02555,0.807827,15.9553,1
0.876672,-1.18552,-1.58359,-1.26489,-0.883834,-1.18512,-1.58198,0.467833,9.19905,1
0.876672,-1.1871,-1.31398,-1.24142,-0.790871,-1.1864,-1.23208,-0.212157,-4.31345,1
0.876672,-1.1871,-1.44144,-1.25674,-0.66887,-1.17499,-1.59476,0.0145064,0.190717,1
0.876672,-1.1871,-0.923669,-1.19451,-0.714314,-1.17925,-0.659888,0.430056,8.44835,1
0.876672,-1.1871,-1.29735,-1.23941,-1.29981,-1.23403,-0.570939,1.11004,21.9609,1
0.876672,-1.19025,-0.475409,-1.15034,-0.409404,-1.16095,-0.279883,0.165615,3.19349,1
0.876672,-1.19025,0.0914774,-1.08261,0.571324,-1.06973,-0.52739,0.883382,17.4567,1
0.876672,-1.1871,-1.29241,-1.23883,-0.573078,-1.16604,-1.45554,0.430056,8.44835,1
0.876672,-1.19025,-1.43832,-1.26539,-0.599666,-1.17866,-1.67076,0.430056,8.44835,1
0.876672,-1.18552,-1.54604,-1.26035,-0.618523,-1.16016,-1.83084,0.354501,6.94697,1
0.876672,-1.1871,-1.81928,-1.30214,-1.05524,-1.21115,-1.78376,-0.363265,-7.31623,1
0.876672,-1.1871,-1.79589,-1.29933,-1.35374,-1.23907,-1.38021,-0.249934,-5.06414,1
0.876672,-1.1871,-2.01755,-1.32596,-1.6577,-1.26751,-1.39501,-1.08103,-21.5794,1
0.876672,-1.1871,-1.24915,-1.23363,-0.694137,-1.17735,-1.23813,0.845605,16.706,1
0.876672,-1.1871,-1.60515,-1.2764,-0.787477,-1.18609,-1.73331,0.656719,12.9525,1
0.876672,-1.1871,-0.289349,-1.1183,-0.317762,-1.14214,-0.0824835,-0.816592,-16.3246,1
-1.15845,0.856549,-0.835186,-1.18388,-0.594197,-1.16801,-0.657533,-0.0610479,-1.31067,1
-1.15845,0.856549,-0.56662,-1.15161,-0.217632,-1.13278,-0.664932,-0.17438,-3.56276,1
-1.15845,0.856549,-0.939521,-1.19642,-0.794831,-1.18677,-0.587585,-0.249934,-5.06414,1
-1.15845,0.856549,0.074327,-1.07458,0.00393066,-1.11204,0.121979,-0.287711,-5.81484,1
-1.1553,0.856549,-0.160978,-1.08305,-0.228947,-1.11317,0.0212617,-0.325488,-6.56553,1
-1.15845,0.856549,-0.462676,-1.13911,-0.287967,-1.13936,-0.407168,-0.0988251,-2.06137,1
-1.15845,0.856549,-0.292467,-1.11866,-0.307014,-1.14113,-0.10081,-0.401043,-8.06692,1
-1.1553,0.856549,-1.2103,-1.2106,-0.977363,-1.18399,-0.825846,-0.0988251,-2.06137,1
-1.1553,0.856549,-0.424087,-1.11503,0.0750195,-1.08439,-0.778427,0.0145064,0.190717,1
-1.1553,0.856549,0.150726,-1.04517,0.460825,-1.04789,-0.303759,0.0900608,1.69211,1
-1.15845,0.856549,-0.255696,-1.11425,-0.400541,-1.14989,0.076916,-0.0610479,-1.31067,1
-1.15845,0.856549,-0.422137,-1.13425,-0.072438,-1.11919,-0.600532,-0.0610479,-1.31067,1
-1.15845,0.856549,-0.461117,-1.13893,0.382193,-1.07665,-1.19374,-0.0610479,-1.31067,1
-1.15845,0.856549,-0.0684664,-1.09175,-0.318139,-1.14217,0.285917,-0.136602,-2.81206,1
-1.15845,0.856549,-0.857665,-1.18658,-0.762775,-1.18378,-0.48754,-0.136602,-2.81206,1
-1.15845,0.856549,-0.0999102,-1.09553,-1.34638,-1.23838,1.59676,-0.0988251,-2.06137,1
0.876672,-1.1871,-0.857144,-1.18653,-0.405821,-1.15038,-0.92303,0.467833,9.19905,1
0.876672,-1.1871,-1.12116,-1.21824,-0.493127,-1.15856,-1.2615,-0.0610479,-1.31067,1
0.876672,-1.1871,-1.19847,-1.22754,-0.291174,-1.13966,-1.62738,0.50561,9.94974,1
0.876672,-1.1871,-0.819725,-1.18203,-0.0664043,-1.11864,-1.26117,-0.0232707,-0.559977,1
0.876672,-1.19025,-1.04294,-1.21814,-0.0912942,-1.13136,-1.59981,-0.0988251,-2.06137,1
0.876672,-1.19025,-1.30696,-1.24968,-0.598158,-1.17852,-1.45016,0.845605,16.706,1
0.876672,-1.1871,-1.00734,-1.20457,-0.547621,-1.16366,-1.00475,0.165615,3.19349,1
0.876672,-1.1871,-1.36673,-1.24776,-0.61098,-1.16957,-1.53642,-0.363265,-7.31623,1
-1.15845,0.856549,-0.781135,-1.17739,-0.252706,-1.13605,-0.978854,-0.0232707,-0.559977,1
-1.15845,0.856549,-0.494769,-1.14297,-0.108454,-1.12257,-0.676701,-0.249934,-5.06414,1
-1.15845,0.856549,-0.358601,-1.12661,-1.01941,-1.20779,0.699382,0.0522836,0.941411,1
-1.15845,0.856549,0.261426,-1.05211,0.253213,-1.08872,0.122315,-0.17438,-3.56276,1
-1.15845,0.856549,0.104991,-1.07091,-0.303807,-1.14083,0.556628,-0.0988251,-2.06137,1
-1.15845,0.856549,-0.235168,-1.11178,-0.549131,-1.1638,0.299033,-0.17438,-3.56276,1
-0.877143,1.05697,0.166578,0.578135,0.787418,0.724669,-0.657197,0.0900608,1.69211,1
-0.880286,1.05697,0.968248,0.753867,0.699171,0.697847,0.711489,0.0145064,0.190717,1
-0.880286,1.05697,0.299366,0.598788,0.689365,0.696092,-0.334698,-0.0232707,-0.559977,1
-0.880286,1.05697,0.259868,0.589633,0.588482,0.677873,-0.279547,0.127838,2.4428,1
-0.877143,1.05697,0.0254733,0.545317,0.315629,0.639236,-0.333354,0.0145064,0.190717,1
-0.880286,1.05697,0.602494,0.669084,0.837766,0.722878,-0.029854,0.127838,2.4428,1
-0.881858,1.05697,0.454113,0.624344,0.458562,0.643698,0.184528,-0.0232707,-0.559977,1
-0.880286,1.05697,0.137343,0.561234,0.541152,0.669321,-0.419106,0.0522836,0.941411,1
-0.881858,1.05697,0.130976,0.549643,0.368238,0.627447,-0.225909,-0.0232707,-0.559977,1
-0.880286,1.05697,0.0239139,0.534935,0.353908,0.635512,-0.380937,0.0522836,0.941411,1
-0.880286,1.05697,1.06609,0.7766,0.806465,0.717244,0.73587,-0.0610479,-1.31067,1
-0.880286,1.05697,0.451775,0.634128,0.75574,0.708079,-0.17143,0.127838,2.4428,1
-0.877143,1.05697,1.10273,0.795844,0.423488,0.65876,1.2667,0.0522836,0.941411,1
-0.877143,1.05697,0.177102,0.580581,0.48364,0.669666,-0.28846,0.0522836,0.941411,1
1.07625,-0.907771,0.5361,0.653676,0.223232,0.611928,0.603708,-0.0610479,-1.31067,1
1.07625,-0.907771,0.157872,0.565998,0.15516,0.599651,0.0735524,-0.325488,-6.56553,1
1.07625,-0.910927,0.301705,0.578874,0.0865228,0.566248,0.391682,0.127838,2.4428,1
1.07625,-0.907771,0.433715,0.629937,0.0386263,0.578611,0.666931,-0.363265,-7.31623,1
1.07625,-0.907771,0.466846,0.637645,0.118767,0.593064,0.621029,-0.0610479,-1.31067,1
1.07625,-0.910927,0.967599,0.732378,0.651463,0.667621,0.768657,0.0145064,0.190717,1
1.07625,-0.910927,-0.0875666,0.489175,0.117825,0.571866,-0.280724,-0.17438,-3.56276,1
1.07625,-0.910927,-0.00791937,0.507535,-0.00247991,0.550282,-0.00496968,-0.136602,-2.81206,1
1.07625,-0.910927,0.804406,0.694754,0.351457,0.61378,0.877616,0.203392,3.94419,1
1.07625,-0.910927,0.257788,0.568769,0.458562,0.63301,-0.129733,0.0900608,1.69211,1
1.07625,-0.910927,0.157742,0.545701,0.171377,0.581478,0.0535454,-0.212157,-4.31345,1
1.07625,-0.910927,-0.0131167,0.506325,0.339576,0.611638,-0.423814,0.165615,3.19349,1
1.07625,-0.907771,-0.482036,0.417607,-0.0794154,0.55728,-0.690489,-0.325488,-6.56553,1
1.07625,-0.907771,0.109278,0.554735,0.299036,0.62563,-0.178493,0.467833,9.19905,1
1.07625,-0.907771,0.668109,0.68432,0.415191,0.64658,0.580168,0.430056,8.44835,1
1.07625,-0.907771,0.828573,0.721495,0.669188,0.692448,0.526869,0.430056,8.44835,1
