SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
2.55809,-0.197267,1.11478,2.68503,0.397947,2.7205,1.03304,0.99764,21.3913,1
2.55809,-0.180445,0.862344,2.66759,-0.130089,2.66227,1.22869,1.18155,25.3218,1
2.55809,0.566037,1.12081,4.93614,0.421882,5.03507,1.01761,0.905683,19.4261,1
-0.70946,-0.148903,0.712589,-0.579156,0.802949,-0.60164,0.157026,0.966987,20.7362,1
-0.70946,-0.148903,0.480489,-0.587621,1.03929,-0.594873,-0.334594,1.05894,22.7015,1
-0.89089,0.065579,-1.64193,-0.690482,-2.57544,-0.72551,0.317932,0.568508,12.2203,1
-0.70946,-0.148903,0.75075,-0.577767,0.645325,-0.606154,0.346903,0.966987,20.7362,1
-0.70946,-0.148903,0.182235,-0.5985,0.323529,-0.615367,-0.0709747,1.1509,24.6667,1
-0.70946,-0.148903,-1.00802,-0.644785,-2.60348,-0.702063,1.29089,0.445899,9.59997,1
-0.70946,-0.148903,0.58907,-0.586896,0.419076,-0.616071,0.353048,0.568508,12.2203,1
-0.89089,0.065579,-0.701355,-0.658167,-1.81797,-0.705083,0.8616,0.507203,10.9101,1
-0.89089,0.065579,-2.34614,-0.714681,-3.23398,-0.743271,-0.0220635,0.353942,7.63474,1
-0.70946,-0.148903,-0.686542,-0.633133,-1.02517,-0.657158,0.0668545,0.59916,12.8753,1
-0.89089,0.065579,-2.69561,-0.726688,-3.0657,-0.738729,-0.742814,0.415246,8.94489,1
-0.89089,0.065579,-0.859142,-0.663589,-1.25815,-0.689987,0.0619632,0.476551,10.255,1
1.52699,-1.00263,0.522666,-0.0970976,0.229289,-0.100043,0.446229,1.27351,27.287,1
1.52699,-1.00263,1.16625,-0.0514607,0.721239,-0.0726642,0.790992,0.936335,20.0812,1
1.52699,-1.00263,0.742968,-0.0814778,0.372518,-0.0920729,0.589828,0.537856,11.5652,1
1.52699,-0.998421,1.17466,-0.0373994,0.808745,-0.053747,0.720259,0.99764,21.3913,1
1.52699,-1.00263,1.16424,-0.0516042,0.380745,-0.0916146,1.1118,0.415246,8.94489,1
1.75512,-0.1468,1.7497,2.17778,0.411971,2.06389,1.8165,0.99764,21.3913,1
1.75512,-0.1468,0.758909,1.96703,0.24163,2.03548,0.733804,1.05894,22.7015,1
1.75512,-0.1468,0.795564,1.97484,0.420011,2.06524,0.611399,1.12025,24.0116,1
1.75512,-0.1468,1.11378,2.04253,0.520982,2.08211,0.914273,1.18155,25.3218,1
1.75512,-0.1468,1.26014,2.07366,0.558938,2.08843,1.06076,1.18155,25.3218,1
1.75512,-0.1468,1.77393,2.18294,0.60718,2.09649,1.65308,1.21221,25.9769,1
1.75512,-0.1468,0.8341,1.98304,0.446376,2.06963,0.634977,1.0896,23.3565,1
1.75512,-0.1468,1.08076,2.0355,0.571653,2.09058,0.825229,1.02829,22.0464,1
1.75512,-0.1468,1.45986,2.11615,0.4647,2.07269,1.40113,0.99764,21.3913,1
1.75512,-0.1468,1.76112,2.18023,0.864653,2.13948,1.38783,1.12025,24.0116,1
1.75512,-0.1468,1.8933,2.20835,0.914017,2.14773,1.50246,1.36547,29.2522,1
1.75512,-0.1468,0.928121,2.00304,0.464139,2.07261,0.73606,1.02829,22.0464,1
1.75512,-0.1468,0.819037,1.97982,0.589416,2.09354,0.482977,0.59916,12.8753,1
1.75512,-0.1468,0.976448,2.01332,0.801828,2.12899,0.4826,0.936335,20.0812,1
1.75512,-0.1468,0.577397,1.92842,0.550337,2.087,0.217978,0.936335,20.0812,1
1.75512,-0.1468,0.612293,1.93584,0.544728,2.08606,0.266763,1.0896,23.3565,1
1.75512,-0.1468,0.810626,1.97802,0.536314,2.08468,0.521604,0.813726,17.4609,1
1.75512,-0.1468,0.560952,1.92491,0.450864,2.0704,0.28846,1.1509,24.6667,1
1.75512,-0.1468,0.642796,1.94231,0.416458,2.06466,0.422904,0.844378,18.1159,1
1.75512,-0.1468,0.400778,1.89085,0.387663,2.05986,0.145615,0.59916,12.8753,1
1.75512,-0.1468,0.382828,1.88702,0.28445,2.0426,0.217852,0.813726,17.4609,1
1.75512,-0.1468,0.594091,1.93196,0.574458,2.09103,0.216849,0.905683,19.4261,1
1.75512,-0.1468,1.05942,2.03094,0.31605,2.04787,1.0422,0.752421,16.1507,1
1.75512,-0.1468,0.92787,2.00298,0.654299,2.10436,0.558224,0.875031,18.771,1
1.75512,-0.1468,1.39408,2.10214,0.453855,2.0709,1.32926,0.875031,18.771,1
1.75512,-0.1468,0.874646,1.99165,0.384858,2.05939,0.743711,1.05894,22.7015,1
1.52699,-0.998421,0.359354,-0.0959495,0.217136,-0.0870895,0.250585,0.537856,11.5652,1
1.52699,-1.00263,1.13072,-0.0539747,1.34239,-0.0380848,0.186749,1.0896,23.3565,1
1.52699,-1.00263,0.845397,-0.0742083,1.14307,-0.0491806,0.0176927,0.966987,20.7362,1
1.52699,-1.00263,0.964398,-0.0657708,0.935893,-0.0607182,0.346401,0.691117,14.8406,1
1.52699,-1.00263,0.834728,-0.0749712,0.847638,-0.0656269,0.266889,1.39612,29.9073,1
1.75512,-0.1468,0.764433,1.9682,0.510511,2.08034,0.487993,0.783074,16.8058,1
1.75512,-0.1468,0.738699,1.96273,0.425434,2.06615,0.534897,1.1509,24.6667,1
1.75512,-0.1468,0.646436,1.94311,0.445066,2.06944,0.400956,0.99764,21.3913,1
1.75512,-0.1468,0.658738,1.94573,0.475171,2.07446,0.388665,0.844378,18.1159,1
1.75512,-0.1468,0.751628,1.96547,0.479285,2.07515,0.50091,1.0896,23.3565,1
1.75512,-0.1468,1.52312,2.12959,0.513502,2.08084,1.43248,0.966987,20.7362,1
1.75512,-0.1468,1.19713,2.06025,0.506957,2.07976,1.03166,1.02829,22.0464,1
1.75512,-0.1468,0.959628,2.00974,0.262572,2.03893,0.967825,0.966987,20.7362,1
1.75512,-0.1468,1.31776,2.08592,0.552768,2.08741,1.13839,0.813726,17.4609,1
1.75512,-0.1468,1.03407,2.02554,0.627001,2.09981,0.715117,1.02829,22.0464,1
1.75512,-0.1468,1.39458,2.10227,0.884661,2.14282,0.919666,1.24286,26.6319,1
1.75512,-0.1468,1.16374,2.05313,0.346715,2.05301,1.1439,0.813726,17.4609,1
1.75512,-0.1468,1.10537,2.04073,0.690387,2.11038,0.744463,0.813726,17.4609,1
1.75512,-0.1468,1.13901,2.04788,0.796219,2.12805,0.687901,1.05894,22.7015,1
1.52699,-1.00263,-0.305566,-0.155826,0.265564,-0.0980224,-0.635209,1.02829,22.0464,1
1.52699,-1.00263,-0.522603,-0.171211,-0.139063,-0.120543,-0.551433,0.415246,8.94489,1
1.52699,-1.00263,-0.232509,-0.150643,-0.166737,-0.122078,-0.151239,0.0780714,1.73907,1
1.52699,-1.00263,0.156502,-0.123055,0.287255,-0.0968105,-0.0705977,0.691117,14.8406,1
1.52699,-1.00263,0.3345,-0.110441,0.327268,-0.0945853,0.117396,0.139376,3.04922,1
1.52699,-1.00263,-0.525866,-0.171445,0.0112686,-0.112174,-0.690642,0.568508,12.2203,1
1.52699,-1.00263,0.144075,-0.123943,0.506957,-0.0845883,-0.283551,1.36547,29.2522,1
1.52699,-0.998421,0.226295,-0.105508,0.606246,-0.0651631,-0.269002,0.691117,14.8406,1
-0.70946,-0.148903,-0.775415,-0.633431,-0.166924,-0.629403,-0.853555,1.0896,23.3565,1
-0.70946,-0.148903,0.124492,-0.600605,0.485268,-0.610734,-0.288693,1.02829,22.0464,1
-0.89089,0.065579,-1.00601,-0.668632,-1.78282,-0.704133,0.392679,0.292637,6.32459,1
-0.89089,0.065579,-0.572814,-0.653748,-0.332216,-0.665015,-0.440569,0.20068,4.35937,1
-0.70946,-0.148903,0.25253,-0.599094,-0.446649,-0.640703,0.749228,0.231333,5.01444,1
-0.70946,-0.148903,-1.16706,-0.650549,-1.73196,-0.67727,0.112254,0.353942,7.63474,1
-0.70946,-0.148903,-0.302553,-0.619211,-0.301925,-0.636581,-0.11625,0.507203,10.9101,1
-0.89089,0.065579,-0.628674,-0.65567,-0.364563,-0.665887,-0.483961,0.384594,8.28982,1
-0.89089,0.065579,-0.858515,-0.663568,-1.23553,-0.689374,0.0402662,0.32329,6.97967,1
-0.704071,-0.148903,0.0976289,-0.601588,-0.887365,-0.650029,0.987388,0.353942,7.63474,1
-0.70946,-0.148903,-0.424064,-0.620614,-0.0960584,-0.627376,-0.463393,0.415246,8.94489,1
-0.704071,-0.148903,-0.644993,-0.628675,-0.112139,-0.627838,-0.733785,0.537856,11.5652,1
-0.89089,0.065579,-2.78185,-0.731296,-2.9206,-0.736714,-1.02575,0.139376,3.04922,1
-0.89089,0.065579,-0.898057,-0.666855,-1.30751,-0.693407,0.0575733,-0.0445378,-0.881235,1
-0.70946,-0.148903,-1.43632,-0.660307,-1.14876,-0.660672,-0.834367,0.353942,7.63474,1
-0.70946,-0.148903,-0.041455,-0.606661,-0.588569,-0.641476,0.501538,0.0780714,1.73907,1
-0.89089,0.065579,-1.94345,-0.702616,-1.78432,-0.706207,-0.933065,0.261985,5.66952,1
-0.70946,-0.148903,-1.34406,-0.654169,-1.69232,-0.673077,-0.177577,0.353942,7.63474,1
-0.70946,-0.148903,-0.676751,-0.632777,-0.777606,-0.65012,-0.160019,0.507203,10.9101,1
-0.89089,0.065579,-0.655663,-0.658561,-0.189362,-0.663383,-0.678352,0.507203,10.9101,1
-0.70946,-0.148903,-0.45532,-0.621754,-0.498069,-0.638884,-0.132051,0.507203,10.9101,1
-0.89089,0.065579,-0.875462,-0.666083,-0.364937,-0.668096,-0.806399,-0.0138855,-0.22616,1
-0.89089,0.065579,-0.680768,-0.659422,-0.611192,-0.674708,-0.323432,0.139376,3.04922,1
-0.70946,-0.148903,0.205834,-0.597643,-0.0302413,-0.625491,0.286204,0.108724,2.39414,1
-0.70946,-0.148903,-1.05986,-0.646662,-0.837066,-0.651807,-0.617025,0.292637,6.32459,1
-0.89089,0.065579,-0.60043,-0.656674,-0.539017,-0.67277,-0.284929,0.507203,10.9101,1
-0.89089,0.065579,-1.43883,-0.685354,-1.28863,-0.692897,-0.705442,0.170028,3.70429,1
-0.70946,-0.148903,-0.974754,-0.640698,-0.277805,-0.632578,-1.01371,0.445899,9.59997,1
-0.70946,-0.148903,-0.682274,-0.632977,-0.0848399,-0.630408,-0.806148,0.568508,12.2203,1
-0.89089,0.065579,-1.26359,-0.679358,-1.09398,-0.68767,-0.650635,0.170028,3.70429,1
-0.89089,0.065579,-0.282971,-0.645813,0.0583892,-0.656732,-0.421756,0.384594,8.28982,1
-0.70946,-0.148903,-0.298536,-0.616036,-0.185622,-0.629941,-0.219088,0.476551,10.255,1
-0.704071,-0.148903,-2.17819,-0.684591,-2.6104,-0.699354,-0.441572,0.752421,16.1507,1
-0.89089,0.065579,-0.854875,-0.665379,0.592969,-0.642382,-1.60177,0.813726,17.4609,1
-0.89089,0.065579,-0.919772,-0.667598,-0.254993,-0.665147,-0.962413,0.59916,12.8753,1
-0.704071,-0.148903,-0.361802,-0.618345,0.142157,-0.620557,-0.59746,0.813726,17.4609,1
-0.704071,-0.148903,-0.197486,-0.612351,0.151505,-0.620289,-0.396547,0.875031,18.771,1
-0.89089,0.065579,-0.714409,-0.660572,-0.181883,-0.663184,-0.761125,0.292637,6.32459,1
-0.89089,0.065579,-0.976888,-0.669549,-0.645223,-0.675622,-0.684372,0.231333,5.01444,1
-0.89089,0.065579,-2.65231,-0.726862,-2.43333,-0.723636,-1.32273,0.292637,6.32459,1
-0.89089,0.065579,-0.785207,-0.662994,-0.484232,-0.671301,-0.579274,0.139376,3.04922,1
-0.70946,-0.148903,-0.650265,-0.631818,-1.03059,-0.657318,0.121535,0.476551,10.255,1
-0.70946,-0.148903,-0.278451,-0.615302,-1.19757,-0.658908,0.796761,0.231333,5.01444,1
-0.89089,0.065579,0.137798,-0.631422,0.628496,-0.641424,-0.398681,0.507203,10.9101,1
-0.89089,0.065579,-2.54536,-0.723206,-2.68388,-0.730361,-0.912874,0.415246,8.94489,1
-0.89089,0.065579,-0.384146,-0.649276,-0.0463215,-0.659546,-0.456997,0.261985,5.66952,1
-0.704071,-0.148903,-0.260501,-0.614648,0.478723,-0.610919,-0.764511,0.537856,11.5652,1
-0.70946,-0.148903,-0.173134,-0.611464,-0.0751165,-0.626777,-0.159265,0.568508,12.2203,1
-0.89089,0.065579,-0.0885279,-0.63916,-0.69253,-0.676895,0.54192,0.353942,7.63474,1
-0.89089,0.065579,-1.0153,-0.670864,-0.950565,-0.683822,-0.449974,0.108724,2.39414,1
-0.70946,-0.148903,-1.01693,-0.645107,-1.77964,-0.678626,0.373866,0.476551,10.255,1
-0.89089,0.065579,1.08804,-0.598912,0.976468,-0.632084,0.460779,0.507203,10.9101,1
-0.89089,0.065579,0.387724,-0.62287,0.186471,-0.653292,0.315172,0.261985,5.66952,1
-0.70946,-0.148903,0.425382,-0.589634,-0.407944,-0.636305,0.937601,0.108724,2.39414,1
-0.298098,1.72046,1.63823,1.68452,0.0273502,1.5433,2.06657,0.0474191,1.08399,1
-0.298098,1.72046,1.20566,1.60576,-0.213296,1.50893,1.75743,-0.259104,-5.46676,1
-0.298098,1.72046,0.840502,1.53927,-0.498256,1.4682,1.57495,-0.136495,-2.84646,1
-0.298098,1.72046,1.75271,1.70534,-0.0865219,1.52705,2.3322,0.0167668,0.428915,1
-0.296301,2.25456,1.10449,2.04055,0.0325857,2.00055,1.3778,0.445899,9.59997,1
-0.296301,2.25456,1.06495,2.03212,0.0636247,2.00574,1.29616,0.415246,8.94489,1
-0.296301,2.25456,0.912304,1.99966,0.00996046,1.9968,1.15394,0.415246,8.94489,1
-0.296301,2.25456,0.974943,2.01297,-0.244148,1.95434,1.48954,0.445899,9.59997,1
-0.296301,2.25456,0.628361,1.93926,-0.253684,1.95274,1.04884,0.292637,6.32459,1
-0.296301,2.25456,0.667148,1.94751,-0.384384,1.93095,1.23044,0.507203,10.9101,1
-0.296301,2.25456,0.803346,1.97648,-0.0648325,1.98426,1.08785,0.415246,8.94489,1
-0.296301,2.25456,0.561203,1.92498,-0.313332,1.9428,1.02075,0.353942,7.63474,1
-0.89089,0.065579,-0.400213,-0.649826,-0.549114,-0.673043,-0.0110275,0.261985,5.66952,1
-0.89089,0.065579,-0.998855,-0.670301,-1.64988,-0.702595,0.264757,0.261985,5.66952,1
-0.89089,0.065579,-1.02835,-0.671313,-1.07696,-0.687212,-0.346884,0.353942,7.63474,1
-0.89089,0.065579,-1.22907,-0.678179,-1.37296,-0.695163,-0.334468,0.59916,12.8753,1
-0.70946,-0.148903,-0.985549,-0.643972,-1.35557,-0.666558,-0.0151648,0.537856,11.5652,1
-0.70946,-0.148903,-0.969231,-0.640499,-1.20916,-0.659242,-0.13757,0.231333,5.01444,1
-1.02382,1.98751,-1.62863,-0.238718,-1.88435,-0.20554,-0.387392,-0.0138855,-0.22616,1
-1.02741,1.98751,-0.285858,-0.154427,-0.664857,-0.149805,0.252091,-0.136495,-2.84646,1
-1.02741,1.98751,-1.17146,-0.217222,-0.640736,-0.14846,-0.946861,0.0474191,1.08399,1
-0.70946,-0.148903,-0.128697,-0.609842,-0.151218,-0.628956,-0.0313448,0.507203,10.9101,1
-1.02741,1.98751,-1.10869,-0.212772,-1.09716,-0.173863,-0.43668,0.0780714,1.73907,1
-1.02741,1.98751,0.413331,-0.104848,-0.456372,-0.138201,0.970081,-0.105842,-2.19139,1
-1.02741,1.98751,0.0766658,-0.128722,-0.383637,-0.134153,0.456764,-0.228451,-4.81169,1
-1.02741,1.98751,-1.08961,-0.211419,-1.4556,-0.193815,-0.059311,-0.0138855,-0.22616,1
-1.02741,1.98751,-0.625662,-0.178522,-0.912046,-0.163556,0.0382607,-0.0445378,-0.881235,1
-1.02741,1.98751,-0.351759,-0.159097,-0.799857,-0.157311,0.296361,-0.167147,-3.50154,1
-0.70946,-0.153109,-0.594153,-0.629785,0.251167,-0.620847,-0.987873,1.88656,40.3885,1
-0.296301,2.25456,1.35567,2.09399,1.41924,2.23205,0.388414,1.61069,34.4928,1
-0.296301,2.25456,1.51195,2.12723,1.38409,2.2262,0.606133,1.61069,34.4928,1
-0.296301,2.25456,1.01172,2.0208,1.259,2.20532,0.117019,1.61069,34.4928,1
-0.70946,-0.148903,1.01963,-0.56796,1.84949,-0.571682,-0.375604,2.53025,54.1451,1
-0.70946,-0.148903,0.00687248,-0.604896,1.19599,-0.590387,-1.03979,2.37699,50.8697,1
-0.89089,0.065579,-0.0754735,-0.638715,1.76721,-0.610853,-1.59174,2.34634,50.2146,1
-0.296301,2.25456,1.10888,2.04149,1.11951,2.18205,0.357438,1.76395,37.7682,1
-0.296301,2.25456,1.12783,2.04552,1.25264,2.20425,0.262375,1.61069,34.4928,1
-0.70946,-0.148903,0.65334,-0.584564,1.20216,-0.593794,-0.26524,1.91721,41.0436,1
-0.296301,2.25456,0.825439,1.98118,1.33173,2.21744,-0.169549,1.82525,39.0784,1
-0.296301,2.25456,0.325086,1.87476,1.52713,2.25008,-0.929303,1.82525,39.0784,1
1.29885,-0.842816,-0.644616,0.0356788,1.41588,0.230185,-1.99544,1.94786,41.6987,1
1.29885,-0.842816,-0.497623,0.0485339,1.77151,0.254605,-2.09026,1.97851,42.3537,1
-0.296301,2.25456,0.777362,1.97098,1.10623,2.17981,-0.0323475,1.82525,39.0784,1
-0.296301,2.25456,0.378183,1.88604,1.18047,2.19221,-0.578899,1.91721,41.0436,1
-0.296301,2.25456,0.612167,1.93583,1.31995,2.21551,-0.415234,1.82525,39.0784,1
1.29885,-0.842816,0.581288,0.142876,1.70158,0.249801,-0.768399,1.8559,39.7334,1
-0.707663,-0.148903,0.267594,-0.600653,2.16586,-0.568877,-1.49843,2.37699,50.8697,1
1.29885,-0.842816,0.413457,0.128195,1.52619,0.237758,-0.823706,1.7946,38.4233,1
1.29885,-0.842816,0.526934,0.138126,1.66774,0.247471,-0.804768,1.76395,37.7682,1
-0.296301,2.25456,1.10838,2.04138,1.43476,2.23467,0.0797717,1.82525,39.0784,1
-0.296301,2.25456,0.655223,1.94496,1.14251,2.18586,-0.211688,1.7946,38.4233,1
1.75512,-0.1468,1.83907,2.19682,1.02097,2.16557,1.33441,1.45742,31.2174,1
1.75512,-0.1468,1.4463,2.11326,1.08043,2.17553,0.801651,1.58003,33.8378,1
1.75512,-0.1468,1.63949,2.15435,0.927853,2.15003,1.1789,1.54938,33.1827,1
1.75512,-0.1468,1.8038,2.18931,1.02751,2.16667,1.28525,1.45742,31.2174,1
1.75512,-0.1468,1.48496,2.12147,0.644576,2.10273,1.25803,1.42677,30.5624,1
1.75512,-0.1468,1.93837,2.21792,0.905042,2.14622,1.56617,1.54938,33.1827,1
1.75512,-0.1468,2.13507,2.25977,0.889336,2.14362,1.82227,1.48808,31.8725,1
1.75512,-0.1468,2.14511,2.2619,0.77995,2.12534,1.94191,1.30416,27.9421,1
-0.713052,-0.148903,-0.104973,-0.614102,-0.0502474,-0.631664,-0.0944265,1.18155,25.3218,1
-0.89089,0.065579,0.0343633,-0.634958,0.573897,-0.64289,-0.47932,1.30416,27.9421,1
1.75512,-0.1468,1.74003,2.17575,0.824078,2.13271,1.40075,1.30416,27.9421,1
1.75512,-0.1468,1.93598,2.21743,0.684217,2.10936,1.77837,1.36547,29.2522,1
1.75512,-0.1468,1.58187,2.14209,0.663274,2.10585,1.36012,1.45742,31.2174,1
-0.70946,-0.153109,-0.354647,-0.6211,-0.511719,-0.642553,0.0136797,1.1509,24.6667,1
1.98326,-0.148903,2.63793,2.60946,1.12718,2.4176,2.20126,1.48808,31.8725,1
1.98326,-0.148903,2.43345,2.56292,1.5118,2.48629,1.58711,2.03982,43.6639,1
1.98326,-0.148903,1.75472,2.40845,0.978339,2.39099,1.27195,1.82525,39.0784,1
-0.89089,0.065579,0.16328,-0.630548,-0.236855,-0.664662,0.42817,1.1509,24.6667,1
-0.89089,0.065579,0.13353,-0.631567,0.995166,-0.631581,-0.719237,1.36547,29.2522,1
1.75512,-0.1468,1.64476,2.15547,1.11334,2.181,1.01197,1.73329,37.1131,1
1.75512,-0.1468,1.58275,2.14229,0.968055,2.15673,1.07192,1.97851,42.3537,1
1.75512,-0.1468,1.2855,2.07905,0.964501,2.15613,0.712482,1.76395,37.7682,1
1.75512,-0.1468,1.67112,2.16109,1.08978,2.17708,1.06577,1.73329,37.1131,1
