SizeX,SizeY,Volume_Per,Volume_um3,Area_Per,Area_um2,Height_um,OffsetX_mm,OffsetY_mm,label
-0.58294,1.20731,-1.50393,0.346305,-0.25289,0.611572,-1.55405,-0.919685,-20.4091,1
-0.58294,1.20731,-0.668013,0.518253,0.813117,0.670315,-0.944552,-1.26094,-28.0052,1
-0.58294,1.20731,-1.59306,0.32793,-0.0151874,0.62467,-1.71399,-1.10738,-24.5869,1
-0.58294,1.20731,-0.378492,0.577801,0.115243,0.631869,-0.439521,-0.987937,-21.9283,1
-0.58294,1.20731,0.5204,0.762747,0.228002,0.638079,0.495264,-0.851434,-18.8898,1
-0.58294,1.20731,0.502759,0.759121,0.209718,0.637047,0.481925,-0.868497,-19.2696,1
-0.58294,1.20731,-0.892078,0.472131,0.124385,0.632371,-0.995531,-1.02206,-22.6879,1
-0.58294,1.20731,-1.05301,0.439039,0.435838,0.649504,-1.25333,-0.817308,-18.1302,1
-0.58294,1.20731,-1.70292,0.305315,-0.0541969,0.622513,-1.82228,-1.1415,-25.3466,1
-0.58294,1.20731,-0.946083,0.461039,0.152425,0.633917,-1.06143,-1.005,-22.3081,1
-0.58294,1.20731,-1.2941,0.389476,-0.194378,0.614799,-1.34248,-1.005,-22.3081,1
-0.58294,1.20731,-0.83761,0.483347,-0.000558252,0.625462,-0.902158,-0.970874,-21.5485,1
-0.58294,1.20731,0.36767,0.731313,0.34929,0.644735,0.295312,-0.970874,-21.5485,1
-0.58294,1.20731,0.191265,0.695025,0.0695324,0.629346,0.187806,-0.953811,-21.1687,1
-0.58294,1.20731,-1.7608,0.293424,-1.08241,0.565868,-1.61071,-0.629618,-13.9524,1
-0.58294,1.20731,-0.921944,0.466017,-0.695382,0.587188,-0.799144,-0.288361,-6.35623,1
-0.58294,1.20731,-0.361007,0.581427,0.0744103,0.629599,-0.40888,-0.33955,-7.49565,1
-0.58294,1.20731,-0.755907,0.500154,-0.0267661,0.624021,-0.806673,-0.254236,-5.59661,1
-0.58294,1.20731,-0.90291,0.46995,-0.159637,0.616712,-0.92844,-0.493115,-10.9139,1
-0.58294,1.20731,-2.28831,0.184918,-0.0779635,0.621215,-2.44869,-0.237173,-5.21681,1
-0.58294,1.20731,-0.292147,0.595562,-0.184627,0.615326,-0.260302,-0.305424,-6.73603,1
-0.58294,1.20731,-0.824148,0.486143,-0.797168,0.581586,-0.663377,-0.305424,-6.73603,1
-0.58294,1.20731,-1.25572,0.397342,-0.0797956,0.621118,-1.33218,-0.45899,-10.1543,1
-0.58294,1.20731,-1.83028,0.279136,-0.408924,0.602995,-1.86679,-0.373675,-8.25526,1
-0.58294,1.20731,-1.66021,0.314134,-0.609444,0.591949,-1.62827,-0.561366,-12.4331,1
0.733509,-0.577014,0.314284,0.720344,0.650992,0.661359,0.149638,0.530653,11.8745,1
0.733509,-0.577014,-0.450602,0.562991,-0.0828414,0.620937,-0.460784,0.496528,11.1149,1
0.733509,-0.577014,-0.259187,0.602383,-0.346752,0.606399,-0.177495,0.411214,9.21584,1
-1.58371,-1.44682,1.73264,-1.98424,1.30132,-2.04968,1.46214,0.0699575,1.61971,1
-1.58371,-1.44682,1.50053,-1.99476,0.223125,-2.06276,1.55115,0.155272,3.51874,1
-1.58371,-1.44682,0.784388,-2.02719,0.390127,-2.06073,0.730346,0.3259,7.31681,1
-1.58371,-1.44682,2.11207,-1.96706,0.572364,-2.05852,2.09581,0.308837,6.937,1
0.733509,-0.577014,-0.856798,0.479414,-1.17079,0.561027,-0.592325,0.411214,9.21584,1
0.733509,-0.577014,-0.0739622,0.640484,-0.695382,0.587188,0.126659,0.479465,10.7351,1
0.733509,-0.577014,-1.10686,0.427977,-0.768524,0.583165,-0.980608,0.377088,8.45623,1
0.733509,-0.577014,0.272194,0.711679,-1.06352,0.566934,0.616767,0.274711,6.17739,1
-1.22467,-1.93346,3.14172,-1.92042,0.0652683,-2.06467,3.37107,0.854847,19.0908,1
-1.22467,-1.93346,2.74326,-1.93847,2.03454,-2.04079,2.29484,0.940161,20.9898,1
0.733509,-0.577014,-2.49922,0.141501,-0.0950293,0.620263,-2.67254,1.07666,24.0283,1
0.733509,-0.577014,0.720325,0.80389,0.817381,0.670534,0.53396,1.09373,24.4081,1
-1.80139,-1.83639,1.96584,-2.28209,0.985603,-2.33138,1.80803,0.923098,20.61,1
-1.80139,-1.83639,-0.566658,-2.35549,-1.55965,-2.35113,-0.158347,0.735407,16.4322,1
0.733509,-0.577014,-0.440853,0.564988,0.481553,0.652048,-0.610023,1.04254,23.2687,1
-1.22467,-1.93346,3.16199,-1.9195,0.0518574,-2.06483,3.39761,0.75247,16.812,1
